licensenumber,operationtype,nurserysize,greenhousesize,tradename,ownername,businessphone,streetnumber,streetname,addressline2,addressline3,city,state,zipcode,georeference,county
13164,Greenhouse Stock Only,10 Acres or Less,,BRIZZELL'S FLOWERS,BRIZZELL WILLIAM A SR,518-783-3131,562,LOUDON ROAD,POB 33,,NEWTONVILLE,NY,12128,,ALBANY
644546,Nursery Stock Only,10 Acres or Less,,COCKBURN FARM LLC,COCKBURN FARM,845-265-3434,11611,ROUTE 9,,,GARRISON,NY,10524,,PUTNAM
646764,Nursery Stock Only,11-100 Acres,,J&R LANDSCAPING INC,JOHN KALBACHER,631-324-9174,221,HAYGROUND ROAD,,,BRIDGEHAMPTON,NY,11932,,SUFFOLK
645547,Nursery Stock Only,10 Acres or Less,,SUSAN BISHOP,SUSAN BISHOP,315-481-8503,610,ELM STREET,,,GROTON,NY,13073,POINT (-76.35614 42.58465),TOMPKINS
644925,Nursery Stock Only,10 Acres or Less,,BROKEN CHIMNEY FARM LLC,ERMELA KAFERI,646-823-3142,3529,ROUTE 22,,,DOVER PLAINS,NY,12522,POINT (-73.57795 41.76619),DUTCHESS
644514,Nursery Stock Only,10 Acres or Less,,MR. MARIUSZ KURYLO,MR. MARIUSZ KURYLO,718-813-7894,100,OHAIRE ROAD,,,MIDDLETOWN,NY,10941,POINT (-74.30884 41.47474),ORANGE
646016,Nursery Stock Only,10 Acres or Less,,QUALITY PARKS,MINDY BLOCK,631-473-6760,322,EAST BROADWAY,,,PORT JEFFERSON,NY,11777,POINT (-73.05804 40.94946),SUFFOLK
643944,Nursery Stock Only,10 Acres or Less,,TWIN MEADOW FARM,IDA ZIMMERMAN,717-821-3002,609,ROUTE 414,,,CLYDE,NY,14433,POINT (-76.86239 43.03396),WAYNE
551173,Nursery Stock Only,10 Acres or Less,,NICK CAMBARERI,CAMBARERI NICK,914-666-6163,91,SUCCABONE RD,,,BEDFORD HILLS,NY,10507,,WESTCHESTER
644571,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CORNELL COOPERATIVE EXTENSION SCHENECTADY COUNTY,SARAH PECHAR,518-372-1622,180,PTL ARTHUR CHAIRES LANE,,,SCHENECTADY,NY,12308,POINT (-73.90997 42.80165),SCHENECTADY
473615,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",KEIL NORMAN NURSERY,N & O HORTICULTURAL PRODUCTS LTD,631-584-6330,38A,FIFTY ACRE ROAD,,,ST JAMES,NY,11780,POINT (-73.17286 40.87961),SUFFOLK
644189,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DARATT FARMS,DARATT FARMS,,,RTE 104,,,STERLING,NY,13156,POINT (-76.64533 43.32583),CAYUGA
26708,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NEW STARTS,BALDWIN HOWARD THOMAS,202-210-9503,6586,LITTLE JOHN ROAD,,,BELFAST,NY,14711,POINT (-78.107 42.31474),ALLEGANY
646608,Nursery Stock Only,11-100 Acres,,HIGH HOPES FARM,JASON D GIOVANNI,518-284-9709,229,LEESVILLE CROSS ROAD,,,SHARON SPRINGS,NY,13459,POINT (-74.64656 42.7952),SCHOHARIE
142177,Nursery Stock Only,11-100 Acres,,TURNBULL NURSERY INC,TURNBULL NURSERY INC,716-337-3812,,BRANT-NO COLLINS,P BENCE FARM,,BRANT,NY,14027,POINT (-79.0093 42.5884),ERIE
645247,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TWIN MAPLE FARM,ELMER WEAVER,,139,LATHERS ROAD,,,FULTONVILLE,NY,12072,POINT (-74.34098 42.87773),MONTGOMERY
645744,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SEIDOFS TRUCK PATCH FARM,DANIEL SEIDOF,607-656-4519,3551,STATE HIGHWAY 12,,,OXFORD,NY,13830,POINT (-75.63753 42.407),CHENANGO
556819,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NATURESCAPES,DEAN ROBERT,914-422-9337,2A,MACDONALD AVENUE,,,ARMONK,NY,10504,POINT (-73.70802 41.12477),WESTCHESTER
643594,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WELLS HOMESTEAD,"WELLS, SUSAN",631-833-4301,185,PHILLIPS LANE,,,AQUEBOGUE,NY,11931,POINT (-72.62652 40.96229),SUFFOLK
646574,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ROCHESTER NW ROTARY INTERACT CLUB,ROCHESTER NW ROTARY CLUB,585-732-5803,1 EDGERTON P,EDGERTON PARK,,,ROCHESTER,NY,14613,POINT (-77.63385 43.17124),MONROE
646658,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",BROWNSON FAMILY FARM,BENJAMIN BROWNSON,315-378-7851,8149,BRIDGEPORT KIRKVILLE RD,,,KIRKVILLE,NY,13082,POINT (-75.95325 43.11657),MADISON
476762,Nursery Stock Only,11-100 Acres,,DELEA LEASING CORP  DBA DELEA SOD FARMS,DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022,,MANOR LN & SOUND AVE CHICHANOW,,,JAMESPORT,NY,11947,POINT (-72.58535 40.9478),SUFFOLK
646028,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SEED SONG FARM & CENTER,CHRISTOPHER L IVERSEN,845-902-8154,160,ESOPUS AVENUE,,,KINGSTON,NY,12401,POINT (-74.00369 41.95573),ULSTER
645578,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",FRESH MEADOW FARM,BRADLEY STROOL,845-800-8135,407,INGRASSIA ROAD,,,MIDDLETOWN,NY,10940,POINT (-74.42578 41.47743),ORANGE
143512,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",WINDY ACRES GREENHOUSE & NURSERY,BEVERLY J WOJTASZCZYK,716-541-4923,6175,WAGNER ROAD,,,SPRINGVILLE,NY,14141,POINT (-78.76206 42.58666),ERIE
646026,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GO NATIVE PERENNIALS,JANICE WILES,240-626-5209,3134,EAST LAKE ROAD,,,SKANEATELES,NY,13152,POINT (-76.40393 42.92266),ONONDAGA
646731,Nursery Stock Only,10 Acres or Less,,NATURE MAIDEN PLANTS,CONNIE MCCAFFERY,518-205-5672,116,HILL RD,,,HOOSICK FALLS,NY,12090,POINT (-73.32951 42.87001),RENSSELAER
177304,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COYOTE HILL FARM,SARTIN DAWN,518-762-7672,,LENZ ROAD,,,JOHNSTOWN,NY,12095,POINT (-74.36846 43.00655),FULTON
472380,Combined Nursery and Greenhouse,,"20,001 SqFt of Glass or More",JAY W GUILD  WHOLESALE GROWER,GUILD JAY W,631-765-5299,,RR 36400 NORTH ROAD,,,PECONIC,NY,11958,POINT (-72.46256 41.04772),SUFFOLK
476501,Nursery Stock Only,11-100 Acres,,VERDERBER LANDSCAPE NURSERY INC,VERDERBERS LANDSCAPE NURSERY INC,631-722-4388,1546,SOUND AVENUE,,,AQUEBOGUE,NY,11931,POINT (-72.77983 40.95622),SUFFOLK
85600,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HELLERS FARM,HELLER SETH & DEBBIE,607-967-8321,1157,COUNTY ROUTE 39,,,BAINBRIDGE,NY,13733,POINT (-75.47679 42.28076),CHENANGO
210733,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CASLER FLOWER FARM & GREENHOUSES LLC,CASLER TRACEY,315-822-5135,895,BABCOCK HILL RD,,,W WINFIELD,NY,13491,POINT (-75.14799 42.93123),HERKIMER
646779,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HILLSIDE GARDENS,BENJAMIN PARKER,315-576-7941,7526,WHEATON RD,,,SPRINGWATER,NY,14560,POINT (-77.59271 42.65338),LIVINGSTON
644243,Nursery Stock Only,10 Acres or Less,,LAPLANTS LAWN & PROPERTY MTCE,LAPLANT WILLIAM,,7482,OLD LYONS RD,,,LYONS,NY,14489,POINT (-77.02634 43.06943),WAYNE
645668,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",TROMBLEES GREENHOUSE + GIFTS,RENEE SCUDER,518-586-4511,2961,NYS ROUTE 9N,,,CROWN POINT,NY,12928,POINT (-73.43068 43.96295),ESSEX
644582,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DELI-ROCK ACRES,DONALD G. HOWE,716-498-1973,11201,MARBLE SPRINGS ROAD,,,DELEVAN,NY,14042,POINT (-78.43231 42.48815),CATTARAUGUS
575382,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COUNTRYSIDE NURSERY,ZIMMERMAN MERVIN W,607-243-3895,6100,ROUTE 14A,,,ROCK STREAM,NY,14878,POINT (-76.97329 42.46808),YATES
